#define,=,<<,typedef,i,return,def,if,-,},{,static,using,let,mut,import,public,.,::,->,var,int,==,//,language,path
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s543708582.cpp
5,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,C++,data/train/C++/s965513569.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s255936204.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s873317587.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s549147862.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s979187904.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s438313577.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s220944957.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s455551926.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s678407549.cpp
19,15,16,12,13,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s805795991.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s956784357.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s358704706.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s857924130.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s404365978.cpp
0,2,0,5,0,3,0,0,3,6,11,0,0,0,0,0,3,0,0,0,0,1,4,2,C++,data/train/C++/s163382784.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s965954744.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s686066700.cpp
11,2,0,6,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,C++,data/train/C++/s301652855.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s327439783.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s448379191.cpp
10,6,0,4,6,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,C++,data/train/C++/s150314734.cpp
17,15,16,12,12,1,0,0,0,3,5,7,1,0,0,0,0,0,0,0,0,8,0,0,C++,data/train/C++/s552776192.cpp
17,0,2,9,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,C++,data/train/C++/s905480552.cpp
15,3,7,0,7,1,0,0,0,7,6,0,2,1,1,0,0,0,0,0,0,1,0,4,C++,data/train/C++/s675007960.cpp
0,14,0,0,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s532075002.py
0,10,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Python,data/train/Python/s333327068.py
0,25,0,0,3,1,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,Python,data/train/Python/s595740441.py
0,21,0,0,5,5,6,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,Python,data/train/Python/s903566554.py
0,11,0,0,1,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s905318674.py
0,5,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s207760292.py
0,6,0,0,2,2,6,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s529028638.py
0,17,0,0,3,5,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,Python,data/train/Python/s148161821.py
0,24,0,0,1,1,3,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Python,data/train/Python/s478922477.py
0,12,0,0,0,5,7,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s707025188.py
0,0,0,0,1,4,8,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Python,data/train/Python/s732955672.py
0,13,0,0,3,5,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,Python,data/train/Python/s691367788.py
0,11,0,0,5,9,13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,Python,data/train/Python/s442515821.py
0,21,0,0,7,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Python,data/train/Python/s611739849.py
0,4,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Python,data/train/Python/s499081820.py
0,11,0,0,0,2,3,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,Python,data/train/Python/s421233703.py
0,15,0,0,3,2,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,Python,data/train/Python/s780990621.py
0,9,0,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s631478181.py
0,11,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s091337145.py
0,13,0,0,2,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s395204214.py
0,9,0,0,5,7,9,5,8,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s182949968.py
0,17,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Python,data/train/Python/s816777353.py
0,11,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s498197477.py
0,1,0,0,0,6,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s167396469.py
0,11,0,0,0,2,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s633564503.py
0,20,0,0,1,1,1,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s464705283.py
0,23,0,0,0,2,5,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s247704358.py
0,11,0,0,1,3,3,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,Python,data/train/Python/s566744016.py
0,14,0,0,4,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Python,data/train/Python/s642943574.py
0,24,0,0,1,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s888023198.py
0,17,0,0,6,5,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,Python,data/train/Python/s649554612.py
0,6,0,0,1,7,8,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s662827477.py
0,16,0,0,0,2,2,5,8,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s508021830.py
0,29,0,0,0,14,12,2,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s889700742.py
0,25,0,0,7,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s199572648.py
0,0,0,0,4,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s672683221.py
0,17,0,0,6,4,4,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,Python,data/train/Python/s460236051.py
0,9,0,0,1,2,1,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,Python,data/train/Python/s107432085.py
0,9,0,0,2,0,3,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s601722064.py
0,10,0,0,2,4,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s847098597.py
0,13,0,0,0,5,8,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s868866965.py
0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python,data/train/Python/s121497848.py
0,21,0,0,0,2,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Python,data/train/Python/s780464984.py
0,16,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Python,data/train/Python/s301140190.py
0,12,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s583795074.py
0,24,0,0,6,15,11,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s435814721.py
0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Python,data/train/Python/s155424244.py
0,25,0,0,8,15,11,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s703916354.py
0,33,0,0,6,15,17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s421577194.py
0,5,0,0,0,19,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s086670847.py
0,13,0,0,0,1,1,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s298954151.py
0,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s363613860.py
0,30,0,0,1,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Python,data/train/Python/s896347313.py
0,8,0,0,9,0,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s246112465.py
0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s226452005.py
0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Python,data/train/Python/s671909772.py
0,6,0,0,1,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s884666495.py
0,8,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python,data/train/Python/s142782204.py
0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python,data/train/Python/s623677683.py
0,13,0,0,4,5,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,Python,data/train/Python/s836024247.py
0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Python,data/train/Python/s454979674.py
0,6,0,0,8,5,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s335474946.py
0,12,0,0,4,1,2,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,Python,data/train/Python/s311703300.py
0,14,0,0,1,0,1,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s776502563.py
0,14,0,0,1,4,5,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s316939428.py
0,22,0,0,1,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Python,data/train/Python/s135004720.py
0,1,0,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python,data/train/Python/s138880683.py
0,10,0,0,2,5,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s627901911.py
0,14,0,0,3,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,Python,data/train/Python/s365905486.py
0,5,0,0,3,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s470087391.py
0,36,0,0,3,10,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,Python,data/train/Python/s259787433.py
0,33,0,0,3,10,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,Python,data/train/Python/s074741759.py
0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,Python,data/train/Python/s550005894.py
0,5,0,0,2,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Python,data/train/Python/s459683545.py
0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s963007964.py
0,20,0,0,0,3,4,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s890392057.py
0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s373231856.py
0,17,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Python,data/train/Python/s739281434.py
0,4,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,Python,data/train/Python/s327624379.py
0,1,0,0,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Python,data/train/Python/s297229653.py
0,13,0,0,3,5,5,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,Python,data/train/Python/s632555096.py
0,8,0,0,0,1,2,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,Python,data/train/Python/s736380858.py
0,12,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Python,data/train/Python/s606079015.py
0,22,0,0,1,9,5,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,Python,data/train/Python/s667130325.py
0,11,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Python,data/train/Python/s468606259.py
0,31,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Python,data/train/Python/s315495998.py
0,17,0,0,3,5,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,Python,data/train/Python/s625626749.py
0,21,0,0,5,6,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s433660053.py
0,46,0,0,1,0,0,4,22,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,Python,data/train/Python/s784075347.py
0,17,0,0,2,1,1,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Python,data/train/Python/s722817816.py
0,12,0,0,4,1,0,0,1,9,10,2,2,0,0,0,0,0,0,0,0,1,0,0,C#,data/train/C#/s742998074.cs
0,11,0,0,4,0,0,2,2,9,9,1,4,0,0,0,0,0,0,0,0,2,1,0,C#,data/train/C#/s327215639.cs
0,13,0,0,2,4,0,0,1,13,0,1,1,0,0,0,5,0,0,0,3,2,3,0,C#,data/train/C#/s205011005.cs
0,14,0,0,4,0,0,1,3,6,7,1,1,0,0,0,1,0,0,0,0,1,3,0,C#,data/train/C#/s446447341.cs
0,14,0,0,4,5,0,0,1,14,0,1,2,0,0,0,6,0,0,0,3,2,2,0,C#,data/train/C#/s825278506.cs
0,10,0,0,4,0,0,1,0,6,6,1,1,0,0,0,0,0,0,0,0,1,3,0,C#,data/train/C#/s316033562.cs
0,4,0,0,1,1,0,1,0,8,8,3,3,0,0,0,2,0,0,0,4,0,1,0,C#,data/train/C#/s294490495.cs
0,13,0,0,0,0,0,1,3,5,5,1,1,0,0,0,2,0,0,0,1,0,0,3,C#,data/train/C#/s390758673.cs
0,7,0,0,2,0,0,1,0,6,6,6,5,0,0,0,0,0,0,0,0,1,1,0,C#,data/train/C#/s512663115.cs
0,10,0,0,4,0,0,0,0,9,9,1,1,0,0,0,0,0,0,0,0,1,1,0,C#,data/train/C#/s906207616.cs
0,10,0,0,2,6,0,1,0,16,16,2,8,0,0,0,9,0,0,0,0,2,0,0,C#,data/train/C#/s606015236.cs
0,11,0,0,4,2,0,2,0,10,10,5,4,0,0,0,6,0,0,0,0,0,1,0,C#,data/train/C#/s312677725.cs
0,9,0,0,2,1,0,1,0,6,6,1,4,0,0,0,0,0,0,0,0,6,2,0,C#,data/train/C#/s478007846.cs
0,13,0,0,4,0,0,3,0,10,10,1,1,0,0,0,0,0,0,0,0,1,0,10,C#,data/train/C#/s741206275.cs
0,10,0,0,4,0,0,1,0,6,6,1,1,0,0,0,0,0,0,0,0,1,3,0,C#,data/train/C#/s516937158.cs
0,24,0,0,0,10,0,2,5,19,19,5,4,0,0,0,6,0,0,0,0,0,5,0,C#,data/train/C#/s950652219.cs
0,8,0,0,0,0,0,0,4,6,6,1,2,0,0,0,0,0,0,0,1,0,0,0,C#,data/train/C#/s279710123.cs
0,15,0,0,4,5,0,1,0,8,9,8,3,0,0,0,5,0,0,0,0,9,4,0,C#,data/train/C#/s374036680.cs
0,19,0,0,6,1,0,1,4,7,7,2,3,0,0,0,1,0,0,0,0,1,0,0,C#,data/train/C#/s687517529.cs
0,11,0,0,6,5,0,1,0,9,10,8,3,0,0,0,5,0,0,0,0,2,1,0,C#,data/train/C#/s810674947.cs
0,9,0,0,2,0,0,0,0,7,8,2,3,0,0,0,0,0,0,0,0,6,1,0,C#,data/train/C#/s685846230.cs
0,18,0,0,0,0,0,0,3,12,12,1,1,0,0,0,0,0,0,0,0,2,1,8,C#,data/train/C#/s848332544.cs
0,11,0,0,2,11,0,0,0,15,15,12,4,0,0,0,2,0,0,0,0,1,0,0,C#,data/train/C#/s922664661.cs
0,10,0,0,2,2,0,2,0,10,8,2,3,0,0,0,3,0,0,0,0,3,1,0,C#,data/train/C#/s294551933.cs
0,8,0,0,4,0,0,2,0,12,12,4,4,0,0,0,0,0,0,0,0,4,1,0,C#,data/train/C#/s877603023.cs
0,9,0,0,2,1,0,1,0,6,6,1,4,0,0,0,0,0,0,0,0,6,2,0,C#,data/train/C#/s552114162.cs
0,4,0,0,2,0,0,1,0,6,6,1,5,0,0,0,0,0,0,0,0,1,1,5,C#,data/train/C#/s738238569.cs
0,11,0,0,1,0,0,2,3,10,10,1,1,0,0,0,0,0,0,0,0,1,1,0,C#,data/train/C#/s429116395.cs
0,17,0,0,4,3,0,3,0,14,14,3,4,0,0,0,4,0,0,0,2,10,3,0,C#,data/train/C#/s747049635.cs
0,9,0,0,0,11,0,1,0,15,15,12,4,0,0,0,2,0,0,0,0,1,1,0,C#,data/train/C#/s908859991.cs
